CMDLINE C:\Users\ASUS\AppData\Local\Programs\Python\Python36-32\python.exe Lab1_multithread.py
MEM 0.632812 1533198445.3776
MEM 8.375000 1533198445.4786
MEM 9.796875 1533198445.5831
MEM 11.109375 1533198445.6837
MEM 12.539062 1533198445.7878
MEM 14.269531 1533198445.8970
MEM 15.636719 1533198446.0063
MEM 16.886719 1533198446.1063
MEM 17.773438 1533198446.2166
MEM 19.011719 1533198446.3314
MEM 19.578125 1533198446.4408
MEM 20.316406 1533198446.5416
MEM 21.359375 1533198446.6452
MEM 22.117188 1533198446.7568
MEM 23.414062 1533198446.8661
MEM 24.359375 1533198446.9755
MEM 24.675781 1533198447.0836
MEM 27.835938 1533198447.1931
MEM 29.121094 1533198447.3025
MEM 31.363281 1533198447.4118
MEM 31.425781 1533198447.5121
MEM 31.468750 1533198447.6154
MEM 31.597656 1533198447.7161
MEM 31.597656 1533198447.8170
MEM 31.597656 1533198447.9319
MEM 31.597656 1533198448.0322
MEM 31.597656 1533198448.1477
MEM 31.597656 1533198448.2571
MEM 31.597656 1533198448.3664
MEM 31.597656 1533198448.4668
MEM 31.597656 1533198448.5774
MEM 31.597656 1533198448.6782
MEM 31.597656 1533198448.7884
MEM 31.597656 1533198448.8978
MEM 31.597656 1533198449.0073
MEM 31.597656 1533198449.1178
MEM 31.597656 1533198449.2271
MEM 31.597656 1533198449.3365
MEM 31.597656 1533198449.4460
MEM 31.597656 1533198449.5538
MEM 31.597656 1533198449.6626
MEM 31.597656 1533198449.7721
MEM 31.597656 1533198449.8813
MEM 31.597656 1533198449.9907
MEM 31.597656 1533198450.1032
MEM 31.597656 1533198450.2126
MEM 31.597656 1533198450.3135
MEM 31.597656 1533198450.4145
MEM 31.597656 1533198450.5155
MEM 31.597656 1533198450.6155
MEM 31.597656 1533198450.7160
MEM 31.597656 1533198450.8160
MEM 31.597656 1533198450.9162
MEM 31.597656 1533198451.0172
MEM 31.597656 1533198451.1266
MEM 31.597656 1533198451.2405
MEM 31.597656 1533198451.3409
MEM 31.597656 1533198451.4419
MEM 31.597656 1533198451.5571
MEM 31.597656 1533198451.6571
MEM 31.597656 1533198451.7722
MEM 31.597656 1533198451.8725
MEM 31.597656 1533198451.9726
MEM 31.597656 1533198452.0727
MEM 31.597656 1533198452.1845
MEM 31.597656 1533198452.2938
MEM 31.597656 1533198452.4079
MEM 32.125000 1533198452.5081
MEM 40.667969 1533198452.6131
MEM 41.785156 1533198452.7398
MEM 44.671875 1533198452.8550
MEM 46.632812 1533198452.9829
MEM 47.226562 1533198453.0839
MEM 50.945312 1533198453.1849
MEM 50.945312 1533198453.2895
MEM 50.945312 1533198453.3990
MEM 50.945312 1533198453.5039
MEM 50.945312 1533198453.6049
MEM 50.945312 1533198453.7144
MEM 50.945312 1533198453.8210
MEM 50.945312 1533198453.9304
MEM 50.945312 1533198454.0313
MEM 50.945312 1533198454.1348
MEM 50.945312 1533198454.2443
MEM 50.957031 1533198454.3450
MEM 50.957031 1533198454.4540
MEM 50.957031 1533198454.5566
MEM 50.957031 1533198454.6570
MEM 50.957031 1533198454.7685
MEM 50.957031 1533198454.8779
MEM 50.957031 1533198454.9872
MEM 50.957031 1533198455.0887
MEM 50.957031 1533198455.1981
MEM 50.957031 1533198455.3074
MEM 31.960938 1533198455.4168
MEM 30.355469 1533198455.5172
